counterfeit_smiles,parent_smiles,category,similarity_to_parent,qed,sa_score,p_counterfeit,n_edited_atoms,edited_atoms
CCCCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CC#CCN1CCCC1,evolved,0.469,0.862,2.09,,2,0 1
O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1N1CCCC1,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CC#CCN1CCCC1,evolved,0.409,0.884,2.57,,5,19 20 21 22 23
O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1Cc1ccccc1,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CC#CCN1CCCC1,evolved,0.446,0.735,1.99,,6,20 21 22 23 24 25
CCOc1cc(C(=O)NC)n(Cc2ccccc2)n1,CN(C)CCCOc1cc(C(=O)Nc2ccccc2F)n(Cc2ccccc2)n1,evolved,0.476,0.889,2.12,,1,9
CNC(=O)c1cc(OC)nn1Cc1ccccc1,CN(C)CCCOc1cc(C(=O)Nc2ccccc2F)n(Cc2ccccc2)n1,evolved,0.424,0.883,2.11,,1,0
CCOc1cc(C(=O)Nc2ccccc2F)n(F)n1,CN(C)CCCOc1cc(C(=O)Nc2ccccc2F)n(Cc2ccccc2)n1,evolved,0.443,0.925,2.5,,1,17
CCn1nc(Cc2ccccc2)cc1C(=O)Nc1ccccc1F,CN(C)CCCOc1cc(C(=O)Nc2ccccc2F)n(Cc2ccccc2)n1,evolved,0.456,0.774,2.0,,8,0 5 6 7 8 9 10 11
COCn1nc(-c2ccccc2)cc1C(=O)Nc1ccccc1F,CN(C)CCCOc1cc(C(=O)Nc2ccccc2F)n(Cc2ccccc2)n1,evolved,0.415,0.78,2.08,,8,0 1 6 7 8 9 10 11
O=C(Nc1ccccc1F)c1cc(Cc2ccccc2)nn1Cc1ccccc1,CN(C)CCCOc1cc(C(=O)Nc2ccccc2F)n(Cc2ccccc2)n1,evolved,0.558,0.512,2.0,,7,13 14 15 16 17 18 19
CNCCN(C)C1=Nc2c(F)cc(F)cc2Nc2sc3ccccc3c21,CN1CCN(C2=Nc3c(F)cc(F)cc3Nc3sc4ccccc4c32)CC1,evolved,0.5,0.713,3.25,,6,0 1 2 3 4 5
FCCN1CCN(C2=Nc3c(F)cc(F)cc3Nc3sc4ccccc4c32)CC1,CN1CCN(C2=Nc3c(F)cc(F)cc3Nc3sc4ccccc4c32)CC1,evolved,0.778,0.645,3.13,,2,0 1
CCCN1CCN(C2=Nc3c(F)cc(F)cc3Nc3sc4ccccc4c32)CC1,CN1CCN(C2=Nc3c(F)cc(F)cc3Nc3sc4ccccc4c32)CC1,evolved,0.78,0.616,2.98,,2,0 1
Fc1cc(F)c2c(c1)Nc1sc3ccccc3c1C(c1ccccc1)=N2,CN1CCN(C2=Nc3c(F)cc(F)cc3Nc3sc4ccccc4c32)CC1,evolved,0.534,0.366,2.8,,6,19 20 21 22 23 24
Cc1cc(F)cc2c1N=C(c1ccccc1)c1c(sc3ccccc13)N2,CN1CCN(C2=Nc3c(F)cc(F)cc3Nc3sc4ccccc4c32)CC1,evolved,0.412,0.36,2.77,,7,0 10 11 12 13 14 15
COC(=O)N[C@H](C)Cc1c[nH]c2ccc(F)cc12,O=C(N[C@@H](Cc1c[nH]c2ccc(F)cc12)C(=O)O)c1ccccc1Br,evolved,0.458,0.879,2.57,,2,0 1
CC(=O)N[C@@H](Cc1c[nH]c2ccc(F)cc12)C(=O)OF,O=C(N[C@@H](Cc1c[nH]c2ccc(F)cc12)C(=O)O)c1ccccc1Br,evolved,0.494,0.898,2.9,,2,0 19
COC(=O)[C@H](Cc1c[nH]c2ccc(F)cc12)NC(C)=O,O=C(N[C@@H](Cc1c[nH]c2ccc(F)cc12)C(=O)O)c1ccccc1Br,evolved,0.5,0.833,2.52,,2,0 18
O=C(NCc1c[nH]c2ccc(F)cc12)c1ccccc1Br,O=C(N[C@@H](Cc1c[nH]c2ccc(F)cc12)C(=O)O)c1ccccc1Br,evolved,0.588,0.739,1.95,,10,0 1 2 14 15 16 17 18 19 20
Fc1ccc2[nH]cc(CC(F)F)c2c1,O=C(N[C@@H](Cc1c[nH]c2ccc(F)cc12)C(=O)O)c1ccccc1Br,evolved,0.452,0.764,2.26,,2,10 11
C[11C](=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1Oc1ccc(Cl)cc1,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1N[11C](C)=O,evolved,0.493,0.776,3.49,,7,15 16 17 18 19 20 21
COc1ccc(Cl)cc1C(=O)NCc1ccccc1,COc1ccc(Cl)cc1C(=O)NCCNC(=O)c1cc(Cl)ccc1OC,evolved,0.6,0.93,1.44,,6,13 14 15 16 17 18
COc1ccc(Cl)cc1C(=O)Nc1ccccc1,COc1ccc(Cl)cc1C(=O)NCCNC(=O)c1cc(Cl)ccc1OC,evolved,0.527,0.917,1.38,,6,12 13 14 15 16 17
COCCn1cnc2c(Cl)nc(N)nc21,CC(C)OP(=O)(COCCn1cnc2c(Cl)nc(N)nc21)OC(C)C,evolved,0.621,0.782,2.5,,0,
Cc1ccc(Sc2cncc3sc(-c4ccccc4)cc23)cc1,Cc1ccc(Sc2cncc3sc(C(=N)S)cc23)cc1,evolved,0.521,0.429,2.26,,6,13 14 15 16 17 18
CCCO[C@@H]1C=C(C(=O)O)C[C@H](C)[C@H]1NC(C)=O,CCCCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,evolved,0.471,0.777,3.84,,1,12
CCCc1c(C(=O)O)n(CCC)c(=O)n1Cc1ccccc1,CCCCn1c(C(=O)O)c(CCC)n(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c1=O,evolved,0.453,0.855,2.18,,0,
CC(C)Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CCCCn1c(C(=O)O)c(CCC)n(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c1=O,evolved,0.437,0.791,1.97,,3,0 1 2
CCc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CCCCn1c(C(=O)O)c(CCC)n(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c1=O,evolved,0.476,0.777,1.88,,1,0
Cc1nc(N(C)S(C)(=O)=O)nc2c1C[C@H]([C@@H](O)F)c1cc(F)ccc1-2,CC(C)c1nc(N(C)S(C)(=O)=O)nc2c1C[C@H]([C@@H](O)C[C@@H](O)CC(=O)O)c1cc(F)ccc1-2,evolved,0.505,0.894,3.84,,1,17
CC(C)c1nc(N(C)S(C)(=O)=O)nc2c1C[C@H](c1ccccc1)c1cc(F)ccc1-2,CC(C)c1nc(N(C)S(C)(=O)=O)nc2c1C[C@H]([C@@H](O)C[C@@H](O)CC(=O)O)c1cc(F)ccc1-2,evolved,0.545,0.618,3.21,,6,17 18 19 20 21 22
O=C(NC(Cc1ccccc1)c1ccccc1)OC1COC2OCCC12,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(F)c(C#N)c1,evolved,0.43,0.894,3.33,,6,11 12 13 14 15 16
CC(=O)NC(Cc1ccccc1)C(O)CN(CC(C)C)S(=O)(=O)c1ccc(F)c(C)c1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(F)c(C#N)c1,evolved,0.463,0.583,3.03,,1,0
COc1c(C)c2c(c(O)c1Cc1ccccc1)C(=O)OC2,COc1c(C)c2c(c(O)c1C/C=C(\C)CN(CCP(=O)(O)O)C(C)=O)C(=O)OC2,evolved,0.42,0.88,2.36,,6,11 12 13 14 15 16
COC(=O)Nc1ccc(Sc2cccc(OC)c2)cc1,CCCC(=O)Nc1ccc(Sc2cccc(OC)c2)cc1,evolved,0.667,0.923,1.86,,2,0 1
CCC(=O)Nc1ccc(Sc2ccccc2)cc1,CCCC(=O)Nc1ccc(Sc2cccc(OC)c2)cc1,evolved,0.415,0.89,1.66,,0,
CCCC(=O)Nc1ccc(CC)cc1,CCCC(=O)Nc1ccc(Sc2cccc(OC)c2)cc1,evolved,0.41,0.778,1.4,,2,10 11
CCCC(=O)Nc1ccccc1,CCCC(=O)Nc1ccc(Sc2cccc(OC)c2)cc1,evolved,0.4,0.728,1.23,,0,
Cc1ccc(OCCNCc2ccccc2)cc1,Cc1ccc(OCCNCCCOc2ccc(F)cc2)cc1,evolved,0.458,0.784,1.43,,6,10 11 12 13 14 15
CCCOc1ccc(F)cc1,Cc1ccc(OCCNCCCOc2ccc(F)cc2)cc1,evolved,0.429,0.65,1.29,,0,
CCCOc1ccc(C)cc1,Cc1ccc(OCCNCCCOc2ccc(F)cc2)cc1,evolved,0.408,0.643,1.25,,1,8
CN1C(=O)CC[C@]2(C)C3CC[C@](C)(c4ccccc4)C(CO)C3CCC12,CN1C(=O)CC[C@]2(C)C3CC[C@@]4(C)C(CC[C@@]4(O)C#CCCCO)C3CCC12,evolved,0.402,0.871,4.07,,7,13 14 15 16 17 18 21
CCc1ccc(CC2CCN(c3ccc(C(N)=O)cc3)CC2)cc1,c1cc(C2=NCCN2)ccc1CC1CCN(c2ccc(C3=NCCN3)cc2)CC1,evolved,0.405,0.91,1.86,,5,0 1 15 16 17
c1ccc(C2CCN(c3ccc(C4=NCCN4)cc3)CC2)cc1,c1cc(C2=NCCN2)ccc1CC1CCN(c2ccc(C3=NCCN3)cc2)CC1,evolved,0.544,0.941,2.16,,6,0 1 2 3 21 22
CN(C)c1ccc(N2CCC(Cc3ccccc3)CC2)cc1,c1cc(C2=NCCN2)ccc1CC1CCN(c2ccc(C3=NCCN3)cc2)CC1,evolved,0.408,0.833,1.8,,3,0 1 2
Cc1ccc(CC2CCN(c3ccccc3)CC2)cc1,c1cc(C2=NCCN2)ccc1CC1CCN(c2ccc(C3=NCCN3)cc2)CC1,evolved,0.406,0.792,1.62,,1,0
CCS(=O)(=O)c1nc2ccc(OC(F)F)cc2[nH]1,COc1cc(CS(=O)(=O)c2nc3ccc(OC(F)F)cc3[nH]2)ccc1OCc1ncc(C)c(OC)c1C,evolved,0.463,0.926,2.56,,1,0
COc1cc(CS(=O)(=O)c2nc3ccc(OC(F)F)cc3[nH]2)ccc1C,COc1cc(CS(=O)(=O)c2nc3ccc(OC(F)F)cc3[nH]2)ccc1OCc1ncc(C)c(OC)c1C,evolved,0.622,0.706,2.49,,1,25
COc1ccc(CS(=O)(=O)c2nc3ccc(OC(F)F)cc3[nH]2)cc1OC,COc1cc(CS(=O)(=O)c2nc3ccc(OC(F)F)cc3[nH]2)ccc1OCc1ncc(C)c(OC)c1C,evolved,0.66,0.658,2.44,,0,
CCC(=O)N[C@H]1CCOC1=O,CCC/C=C/CCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,evolved,0.438,0.566,2.77,,0,
CCC/C=C/CCCCCCC(C)=O,CCC/C=C/CCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,evolved,0.4,0.397,2.2,,0,
C=C1CC(CC)(C2(C)CCCCCCCCC2)OC1=O,C=C1CC2(CCCCCCCCC2)OC1=O,evolved,0.408,0.514,3.95,,10,0 1 2 3 4 5 7 17 18 19
CC1(Cl)C(=O)Nc2cccc(Cl)c21,O=C1Nc2cccc(Cl)c2C12OCCO2,evolved,0.42,0.663,3.21,,2,0 2
O=S(=O)(Nc1nc2ccccc2[nH]1)c1ccccc1Cl,Nc1ccc(S(=O)(=O)Nc2nc3ccccc3[nH]2)cc1,evolved,0.523,0.781,2.0,,1,19
Nc1ccc(-c2nc3ccccc3[nH]2)cc1,Nc1ccc(S(=O)(=O)Nc2nc3ccccc3[nH]2)cc1,evolved,0.403,0.605,1.76,,7,0 1 2 3 4 14 15
CC1=C(C(=O)OC(C)C)C(C(F)(F)c2ccccc2F)C2=C(COC2=O)N1,CC1=C(C(=O)OC(C)C)C(c2c(F)ccc(Cl)c2C(F)(F)F)C2=C(COC2=O)N1,evolved,0.449,0.812,3.49,,10,10 11 12 13 14 15 16 17 18 19
CC(C)OC(=O)C1=C(c2c(Cl)ccc(F)c2F)NC2=C(C(=O)OC2)C1c1ccccc1,CC1=C(C(=O)OC(C)C)C(c2c(F)ccc(Cl)c2C(F)(F)F)C2=C(COC2=O)N1,evolved,0.447,0.555,3.27,,9,8 9 10 11 12 13 14 15 16
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC2CC2)C1c1c(F)ccc(Cl)c1C(F)(F)F,CC1=C(C(=O)OC(C)C)C(c2c(F)ccc(Cl)c2C(F)(F)F)C2=C(COC2=O)N1,evolved,0.433,0.494,3.2,,7,10 12 13 14 15 16 17
COc1nc(-c2ccccc2)nc(-c2ccc(F)cc2)c1/C=C/N,COC(=O)CC(=O)CC(O)/C=C/c1c(-c2ccc(F)cc2)nc(-c2ccccc2)nc1C(C)C,evolved,0.409,0.792,2.42,,3,0 1 23
CC(C)c1nc(-c2ccccc2)nc(-c2ccc(F)cc2)c1-c1ccccc1,COC(=O)CC(=O)CC(O)/C=C/c1c(-c2ccc(F)cc2)nc(-c2ccccc2)nc1C(C)C,evolved,0.411,0.398,2.05,,6,22 23 24 25 26 27
COc1cc2ncnc(Nc3ccc(F)c(F)c3)c2cc1F,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,evolved,0.408,0.799,2.1,,2,16 21
CCCCOc1cc2c(Nc3ccccc3)ncnc2cc1OC,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,evolved,0.455,0.646,1.94,,1,0
Clc1cccc(Cl)c1NC1=NCCN1c1ccccc1,ON1CCN=C1Nc1c(Cl)cccc1Cl,evolved,0.482,0.896,2.31,,6,14 15 16 17 18 19
Clc1cccc(Cl)c1NC1=NCCN1Oc1ccccc1,ON1CCN=C1Nc1c(Cl)cccc1Cl,evolved,0.45,0.925,2.62,,6,15 16 17 18 19 20
ON1CCN=C1Nc1c(Cl)cccc1Cc1ccccc1,ON1CCN=C1Nc1c(Cl)cccc1Cl,evolved,0.55,0.913,2.57,,7,14 15 16 17 18 19 20
CCCc1cc2c(s1)Nc1ccc(F)cc1N=C2OC,CCc1cc2c(s1)Nc1ccc(F)cc1N=C2N1CC[N+](C)([O-])CC1,evolved,0.418,0.875,3.08,,3,0 18 19
CCc1cc2c(s1)Nc1ccc(F)cc1N=C2OC,CCc1cc2c(s1)Nc1ccc(F)cc1N=C2N1CC[N+](C)([O-])CC1,evolved,0.506,0.845,3.08,,2,17 18
CCc1cc2c(s1)Nc1ccc(F)cc1N=C2C1CCCC1,CCc1cc2c(s1)Nc1ccc(F)cc1N=C2N1CC[N+](C)([O-])CC1,evolved,0.483,0.742,2.93,,5,17 18 19 20 21
COc1cc(CC(=O)O)cc(-c2ccccc2Cl)c1,COc1cc(CC(=O)O)cc(-c2ccc(Cl)cc2)c1,evolved,0.516,0.927,1.79,,1,17
COc1cc(CC(=O)O)cc(-c2ccc(F)cc2)c1,COc1cc(CC(=O)O)cc(-c2ccc(Cl)cc2)c1,evolved,0.698,0.918,1.73,,1,15
CCc1cc(OC)cc(-c2ccc(C(=O)O)cc2)c1,COc1cc(CC(=O)O)cc(-c2ccc(Cl)cc2)c1,evolved,0.467,0.908,1.68,,3,13 14 15
COc1cc(OC)cc(-c2ccc(CC(=O)O)cc2)c1,COc1cc(CC(=O)O)cc(-c2ccc(Cl)cc2)c1,evolved,0.509,0.909,1.7,,6,5 6 13 14 15 16
O=C(O)Cc1cc(Cl)cc(-c2ccccc2)c1,COc1cc(CC(=O)O)cc(-c2ccc(Cl)cc2)c1,evolved,0.4,0.898,1.65,,1,7
COc1cc(CC(=O)O)cc(-c2ccccc2)c1,COc1cc(CC(=O)O)cc(-c2ccc(Cl)cc2)c1,evolved,0.673,0.896,1.63,,0,
COc1cc(CO)cc(-c2ccccc2)c1,COc1cc(CC(=O)O)cc(-c2ccc(Cl)cc2)c1,evolved,0.407,0.851,1.58,,1,6
COc1cc(OC)cc(-c2ccc(Cl)cc2)c1,COc1cc(CC(=O)O)cc(-c2ccc(Cl)cc2)c1,evolved,0.531,0.817,1.54,,2,5 6
O=C(NCC1CC1)c1cc(-c2ccccc2)nnc1Cl,CNC(=O)c1cc(-c2ccncc2)nnc1Cl,evolved,0.414,0.94,2.03,,4,4 5 6 13
O=C(O)c1cc(-c2ccccc2)nnc1Cl,CNC(=O)c1cc(-c2ccncc2)nnc1Cl,evolved,0.407,0.867,1.91,,2,2 9
O=C(Nc1ccccc1)c1cc(-c2ccccc2)nnc1Cl,CNC(=O)c1cc(-c2ccncc2)nnc1Cl,evolved,0.446,0.794,1.78,,7,3 4 5 6 7 8 15
O=C(NCc1ccccc1)c1cc(-c2ccccc2)nnc1Cl,CNC(=O)c1cc(-c2ccncc2)nnc1Cl,evolved,0.441,0.796,1.83,,7,4 5 6 7 8 9 16
COc1cccc(C2CC(=O)N(CCO)c3ccccc3S2)c1,COc1ccc(C2CC(=O)N(Cc3cccc(F)c3)c3ccccc3S2)cc1,evolved,0.447,0.935,2.71,,4,0 1 13 14
CCN1C(=O)CC(c2ccc(OC)cc2)Sc2ccccc21,COc1ccc(C2CC(=O)N(Cc3cccc(F)c3)c3ccccc3S2)cc1,evolved,0.628,0.847,2.58,,1,0
CCCC(=O)Cn1nnc2c(N)ncnc21,Nc1ncnc2c1nnn2C[C@@H](CO)OCP(=O)(O)O,evolved,0.413,0.788,2.69,,3,0 1 4
CCCO[C@H](CC1CCCCC1)Cn1nnc2c(N)ncnc21,Nc1ncnc2c1nnn2C[C@@H](CO)OCP(=O)(O)O,evolved,0.464,0.843,3.26,,8,0 1 6 7 8 9 10 11
Nc1ncnc2c1nnn2CC(=O)c1ccccc1,Nc1ncnc2c1nnn2C[C@@H](CO)OCP(=O)(O)O,evolved,0.41,0.69,2.24,,7,12 13 14 15 16 17 18
O=C(NCc1ccccc1)N1CCN(c2ccccc2)CC1,O=C(CSCc1ccccc1)N1CCN(c2ccccc2)CC1,evolved,0.476,0.945,1.59,,8,2 3 4 5 6 7 8 9
O=C(Nc1ccccc1)N1CCN(c2ccccc2)CC1,O=C(CSCc1ccccc1)N1CCN(c2ccccc2)CC1,evolved,0.406,0.918,1.52,,7,2 3 4 5 6 7 8
O=C(c1ccccc1)N1CCN(c2ccccc2)CC1,O=C(CSCc1ccccc1)N1CCN(c2ccccc2)CC1,evolved,0.426,0.834,1.43,,6,2 3 4 5 6 7
c1ccc(CCN2CCN(c3ccccc3)CC2)cc1,O=C(CSCc1ccccc1)N1CCN(c2ccccc2)CC1,evolved,0.419,0.839,1.48,,6,0 1 2 3 18 19
c1ccc(CN2CCN(c3ccccc3)CC2)cc1,O=C(CSCc1ccccc1)N1CCN(c2ccccc2)CC1,evolved,0.4,0.828,1.39,,6,0 1 2 3 17 18
c1ccc(N2CCN(c3ccccc3)CC2)cc1,O=C(CSCc1ccccc1)N1CCN(c2ccccc2)CC1,evolved,0.4,0.793,1.26,,6,8 9 10 11 12 13
CS(=O)(=O)c1cc2c(cc1Cl)NC(Cc1ccccc1)NS2,O=S(=O)(Cl)c1cc2c(cc1Cl)NC(CCl)NS2,evolved,0.444,0.828,3.29,,7,0 14 15 16 17 18 19
CS(=O)(=O)c1cc2c(cc1Cl)NC(CCc1ccccc1)NS2,O=S(=O)(Cl)c1cc2c(cc1Cl)NC(CCl)NS2,evolved,0.427,0.805,3.24,,8,0 14 15 16 17 18 19 20
COCC1NSc2cc(S(C)(=O)=O)c(Cl)cc2N1,O=S(=O)(Cl)c1cc2c(cc1Cl)NC(CCl)NS2,evolved,0.492,0.829,3.72,,3,0 1 10
c1ccc2c(c1)CC1NC2(COCC2CC2)C2CCCCC12,OCCC12NC(Cc3ccccc31)C1CCCCC12,evolved,0.608,0.916,4.72,,5,11 12 13 14 15
c1ccc(CCC23NC(Cc4ccccc42)C2CCCCC23)cc1,OCCC12NC(Cc3ccccc31)C1CCCCC12,evolved,0.71,0.853,4.32,,6,0 1 2 3 22 23
OCCCC12NC(Cc3ccccc31)C1CCCCC12,OCCC12NC(Cc3ccccc31)C1CCCCC12,evolved,0.825,0.886,4.67,,2,0 1
c1ccc(-c2ccccc2C23NC(Cc4ccccc42)C2CCCCC23)cc1,OCCC12NC(Cc3ccccc31)C1CCCCC12,evolved,0.407,0.593,4.3,,12,0 1 2 3 4 5 6 7 8 9 26 27
CCCNS(=O)(=O)c1nc2cc(Cl)ccc2[nH]1,O=C1[C@@H](NS(=O)(=O)c2nc3cc(Cl)ccc3[nH]2)CCN1CCNc1ccncc1,evolved,0.413,0.893,2.4,,3,0 1 2
Cc1ccccc1C(=O)c1ccc(C(=O)O)n1C,Cc1ccccc1C(=O)c1ccc2n1CCC2C(=O)O,evolved,0.422,0.841,2.16,,4,13 14 15 17
CCc1ccccc1C(=O)c1ccc2n1CCC2C(=O)O,Cc1ccccc1C(=O)c1ccc2n1CCC2C(=O)O,evolved,0.656,0.878,2.88,,1,0
O=C(CCc1ccccc1)c1ccc2n1CCC2C(=O)O,Cc1ccccc1C(=O)c1ccc2n1CCC2C(=O)O,evolved,0.438,0.858,2.81,,8,2 3 4 5 6 7 8 9
CCCNC(=O)c1c(OC)ccc(I)c1O,CCN1CCCC1CNC(=O)c1c(OC)ccc(I)c1O,evolved,0.5,0.829,2.23,,2,0 1
CCNC(=O)c1c(OC)ccc(I)c1O,CCN1CCCC1CNC(=O)c1c(OC)ccc(I)c1O,evolved,0.523,0.834,2.31,,1,0
COc1ccc(I)c(O)c1C(=O)NCc1ccccc1,CCN1CCCC1CNC(=O)c1c(OC)ccc(I)c1O,evolved,0.434,0.799,1.99,,2,18 19
CCC=Cc1c(C)cc(OC)c(C)c1Cl,CCOC(=O)/C=C(C)/C(F)=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1Cl,evolved,0.413,0.74,2.62,,0,
COC(=O)C=Cc1c(C)cc(OC)c(C)c1Cl,CCOC(=O)/C=C(C)/C(F)=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1Cl,evolved,0.486,0.614,2.46,,3,0 1 3
CCNS(=O)(=O)c1cc2ccc(Cl)nc2s1,O=C1[C@@H](NS(=O)(=O)c2cc3ccc(Cl)nc3s2)CCN1Cc1cc2c[nH]ccc-2n1,evolved,0.4,0.875,2.65,,2,0 1
CCC[C@H]1CCN(Cc2cc3c[nH]ccc-3n2)C1=O,O=C1[C@@H](NS(=O)(=O)c2cc3ccc(Cl)nc3s2)CCN1Cc1cc2c[nH]ccc-2n1,evolved,0.455,0.915,3.41,,3,0 1 2
Cc1cnc2c(NCCC(F)(F)F)nccn12,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nccn23)ccc1C(=O)NC1CC1,evolved,0.437,0.901,2.74,,1,0
CCCNc1nccn2c(-c3cccc(F)c3)cnc12,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nccn23)ccc1C(=O)NC1CC1,evolved,0.442,0.79,2.31,,1,15
CCCNc1nccn2c(-c3cccc(C)c3)cnc12,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nccn23)ccc1C(=O)NC1CC1,evolved,0.447,0.785,2.28,,0,
FCCNc1nccn2c(-c3cccc(Br)c3)cnc12,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nccn23)ccc1C(=O)NC1CC1,evolved,0.417,0.793,2.59,,2,0 15
COc1ccccc1N1CCN(Cc2ccccc2)CC1,COc1ccccc1N1CCN(CCCC2=CCCc3cccc(OC)c32)CC1,evolved,0.412,0.857,1.52,,6,13 14 15 16 17 18
COc1ccccc1N1CCN(CCc2ccccc2C(N)=O)CC1,COc1ccccc1N1CCN(CCCC2=CCCc3cccc(OC)c32)CC1,evolved,0.411,0.876,1.89,,9,14 15 16 17 18 19 20 21 22
CC(=O)C1C2C[C@H]3OC(C)(C)O[C@@]3(C(C)=O)[C@@]2(C)C[C@H](O)[C@]1(F)C1(C)C=CC(=O)C=C1,CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,evolved,0.4,0.735,5.08,,10,0 2 23 24 25 26 27 28 29 30
COc1ccc2nc(SCC(=O)NC3CCC3)[nH]c2c1,COc1ccc2nc(SCC(=O)NC3CCCCC3C)[nH]c2c1,evolved,0.711,0.83,2.07,,0,
CCCNC(=O)CSc1nc2ccc(OC)cc2[nH]1,COc1ccc2nc(SCC(=O)NC3CCCCC3C)[nH]c2c1,evolved,0.588,0.795,2.02,,3,0 1 2
COc1ccc2nc(SCC(=O)Nc3ccccc3)[nH]c2c1,COc1ccc2nc(SCC(=O)NC3CCCCC3C)[nH]c2c1,evolved,0.56,0.709,1.84,,0,
COCC1=Nc2cc(Cl)ccc2Nc2ccc(F)cc21,CC1CC(C2=Nc3cc(Cl)ccc3Nc3ccc(F)cc32)=CCN1C,evolved,0.432,0.894,2.64,,3,0 1 2
Cc1ccccc1C1=Nc2cc(Cl)ccc2Nc2ccc(F)cc21,CC1CC(C2=Nc3cc(Cl)ccc3Nc3ccc(F)cc32)=CCN1C,evolved,0.506,0.452,2.33,,4,0 3 4 5
Oc1nc(-c2cc(Cl)cc(Cl)c2)c(Cl)[nH]1,Oc1nc(-c2cc(Cl)cc(Cl)c2)c(-c2cc(Cl)cc(Cl)c2)[nH]1,evolved,0.533,0.823,2.69,,1,13
Oc1nc(-c2cc(Cl)cc(Cl)c2)c(-c2ccccn2)[nH]1,Oc1nc(-c2cc(Cl)cc(Cl)c2)c(-c2cc(Cl)cc(Cl)c2)[nH]1,evolved,0.545,0.747,2.52,,1,18
O=[N+]([O-])c1ccc(C=NNc2ccccc2Cl)o1,CCNC(=S)NN=Cc1ccc([N+](=O)[O-])o1,evolved,0.414,0.522,2.29,,7,10 11 12 13 14 15 16
O=[N+]([O-])c1ccc(C=NNc2ccccc2)o1,CCNC(=S)NN=Cc1ccc([N+](=O)[O-])o1,evolved,0.446,0.498,2.19,,6,10 11 12 13 14 15
O=C(Nc1nncc2ccccc12)C(F)(F)F,O=Nc1ccc(NNc2nncc3ccccc23)cc1,evolved,0.412,0.832,2.37,,6,0 1 13 14 15 16
O=C(Nc1nncc2ccccc12)c1ccccc1,O=Nc1ccc(NNc2nncc3ccccc23)cc1,evolved,0.4,0.759,1.86,,8,0 1 13 14 15 16 17 18
c1ccc(Nc2nncc3ccccc23)cc1,O=Nc1ccc(NNc2nncc3ccccc23)cc1,evolved,0.444,0.721,1.82,,6,0 1 2 3 15 16
Cc1ccccc1-n1cc(C(=O)O)nc1C1CCCC1,CC1Oc2ccccc2-n2cc(C(=O)O)nc21,evolved,0.403,0.928,2.32,,12,0 1 2 3 4 5 6 15 16 17 18 19
CC(F)(F)CC1Oc2ccccc2-n2cc(C(=O)O)nc21,CC1Oc2ccccc2-n2cc(C(=O)O)nc21,evolved,0.551,0.945,3.45,,4,0 1 2 3
CC(C)(F)CC1Oc2ccccc2-n2cc(C(=O)O)nc21,CC1Oc2ccccc2-n2cc(C(=O)O)nc21,evolved,0.559,0.943,3.43,,4,0 1 2 3
CCOC(=O)[C@H](CCc1ccccc1)Nc1ccccc1,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(=O)O)N1CCCC1,evolved,0.429,0.788,2.15,,6,15 16 17 18 19 20
CCCN[C@@H](CCc1ccccc1)C(=O)N(C)N1CCCC1,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(=O)O)N1CCCC1,evolved,0.452,0.801,2.85,,7,6 7 8 9 10 11 12
